random_id,participant_id,n
p1c8o1pd8dr,lion,97
p1dh73qts4t,beaver,97
p1w5ffoodro,goose,97
p2hvktg9aaq,deer,97
p3j7s9p0lza,owl,97
p4961edx5na,mouse,97
p4z9kb65myv,wombat,97
p6n2jsqfjhm,NA,96
p6nkoq3tkwd,NA,96
p6nnxuaodv3,chipmunk,97
p7fvubf4hru,duck,97
p8qlq22ql92,swan,97
p8wcmls9wqb,rabbit,97
pbye0mt1409,cub,97
pc01eb9tp6y,whale,97
pc1vfucdgz9,zebra,97
pcz71rqy9mh,tiger,97
peyqsjs8awm,seal,97
pfktoq0rcv8,penguin,97
pfyg3t8koe0,goldfish,97
pgg3sj0ueqg,NA,96
pkxvmjwckg9,lynx,97
pl848cfk3z6,calf,97
ple8d8452ac,fawn,97
pm08fz2px39,NA,96
pmmskfltv5j,badger,97
po2nn4x1ntk,butterfly,97
po4b7u65rm8,jaguar,97
po8sah3zuhe,giraffe,97
pok9hvoj70w,dolphin,97
popbml4vguw,lamb,97
pr4tmg75fll,cheetah,97
prbllt4ozjt,raccoon,97
prhq8v53czb,parrot,97
prqv5qhsjst,crow,97
pt7zb1bx9y2,ladybug,97
ptdhdmkoabx,lemur,97
ptjy847gyva,gecko,97
ptry9dl0wur,gazelle,97
pucw4w5syoo,NA,96
pv3s869wl47,NA,96
pvnosu31pwe,frog,97
pw21q7nnepo,sloth,97
pxbe6wvvoq4,NA,96
pyeyx6e3hyg,goat,97
